problem,method,iteration,input_a,input_b,midpoint,false_position,newton,selected,root,f_root,residual,step_size,error,a,b,newton_status
quadratic,false-position,8,1.9975444116180023,4.0,,1.9990172820170287,,false-position,1.9990172820170287,-0.002947188214279972,0.002947188214279972,0.001472870399026327,0.002947188214279972,1.9990172820170287,4.0,not used
quadratic,false-position,9,1.9990172820170287,4.0,,1.9996068355328531,,false-position,1.9996068355328531,-0.0011793388231424728,0.0011793388231424728,0.0005895535158244591,0.0011793388231424728,1.9996068355328531,4.0,not used
quadratic,false-position,10,1.9996068355328531,4.0,,1.9998427218459047,,false-position,1.9998427218459047,-0.00047180972586802206,0.00047180972586802206,0.00023588631305160312,0.00047180972586802206,1.9998427218459047,4.0,not used
quadratic,false-position,11,1.9998427218459047,4.0,,1.9999370867593864,,false-position,1.9999370867593864,-0.00018873576376510215,0.00018873576376510215,9.436491348169262e-05,0.00018873576376510215,1.9999370867593864,4.0,not used
quadratic,false-position,12,1.9999370867593864,4.0,,1.9999748343871047,,false-position,1.9999748343871047,-7.54962053779451e-05,7.54962053779451e-05,3.774762771824314e-05,7.54962053779451e-05,1.9999748343871047,4.0,not used
quadratic,false-position,13,1.9999748343871047,4.0,,1.9999899337041769,,false-position,1.9999899337041769,-3.0198786138857514e-05,3.0198786138857514e-05,1.509931707222023e-05,3.0198786138857514e-05,1.9999899337041769,4.0,not used
quadratic,false-position,14,1.9999899337041769,4.0,,1.9999959734735642,,false-position,1.9999959734735642,-1.2079563094680168e-05,1.2079563094680168e-05,6.03976938728934e-06,1.2079563094680168e-05,1.9999959734735642,4.0,not used
quadratic,false-position,15,1.9999959734735642,4.0,,1.9999983893881288,,false-position,1.9999983893881288,-4.8318330196917e-06,4.8318330196917e-06,2.4159145646240887e-06,4.8318330196917e-06,1.9999983893881288,4.0,not used
quadratic,base,1,1.0,4.0,2.5,1.5,,false-position,1.5,-1.25,1.25,0.5,1.25,1.5,2.5,not used
quadratic,base,2,1.5,2.5,2.0,1.9166666666666665,,bisection,2.0,0.0,0.0,0.5,0.0,2.0,2.0,not used
quadratic,improved,1,1.0,4.0,2.5,1.5,2.125,newton,2.125,0.390625,0.390625,1.125,0.390625,1.5,2.125,accepted
quadratic,improved,2,1.5,2.125,1.8125,1.9761904761904763,2.0001920122887866,newton,2.0001920122887866,0.0005760737350786194,0.0005760737350786194,0.12480798771121338,0.0005760737350786194,1.9761904761904763,2.0001920122887866,accepted
quadratic,improved,3,1.9761904761904763,2.0001920122887866,1.9881912442396314,1.9999984640007864,2.0000000000007865,newton,2.0000000000007865,2.3594459719333827e-12,2.3594459719333827e-12,0.00019201228800014292,2.3594459719333827e-12,1.9999984640007864,2.0000000000007865,accepted
